experiment,oos_r2_pct,rank_ic,corr_pred_beta60,corr_pred_betabab,ir,sharpe,cagr_pct,alpha_t,beta,beta_t,hit_rate,max_dd_pct,calmar,long_leg_cagr_pct,short_leg_cagr_pct,avg_turnover,avg_abs_beta60_exposure,avg_abs_betabab_exposure,n_months
"seed 42, 200 trees (grid run)",0.1547364921216321,0.09534076946220334,-0.06421339718634715,-0.04280334353264894,1.1989475426789467,1.3648249059003623,34.528705810889605,3.1792993765785433,-0.01921283457969812,-0.09739177717397146,0.6617647058823529,-22.568649467901945,1.5299411628506054,13.098554893283175,13.187939942844483,0.45321447705321427,7.27818540729681e-16,0.23204922572893488,68
"seed 1, 200 trees",0.15705238922749665,0.09908705468876704,-0.07184364170075785,-0.061203003151902545,1.06425620862371,1.2269374888859945,30.808169344548396,2.8629343326592878,-0.02241879074336603,-0.11145592259342167,0.6764705882352942,-27.907493659434856,1.1039389534764936,11.93278464921499,11.1638088569602,0.45232040417827735,6.334291751250606e-16,0.21921516853718317,68
"seed 2, 200 trees",0.16439875300569007,0.0950604168729817,-0.06842280260416281,-0.05801429922369361,1.1352526957377902,1.307421355847736,31.52547998071804,3.0582224393518875,-0.02944226292969805,-0.15492330660018766,0.6470588235294118,-22.652805042571387,1.391681070908095,10.439752266738168,13.14124140217463,0.45366997414946,6.668991339556719e-16,0.2309977793566732,68
"seed 3, 200 trees",0.16760637885463447,0.09791752021148817,-0.07167893332833124,-0.0595338398109022,1.1024824556076689,1.2686394525289384,31.415297863220836,3.0009819240058517,-0.06099301365555442,-0.3099038698496553,0.6323529411764706,-27.398599267885835,1.146602333793137,10.304078026912112,13.088160921675328,0.4527075424916375,7.082008590675315e-16,0.23618913139207218,68
"seed 4, 200 trees",0.16145882192745153,0.09806892473306443,-0.07798216931215592,-0.06926960361374888,1.0714801845119037,1.237428911727816,30.548745433948966,2.851856088179844,0.01276375434475159,0.06472598454869305,0.6323529411764706,-20.80693932046148,1.4681998617599379,9.240939401894277,13.809849818779597,0.4393281349298616,7.666457338243383e-16,0.22713275023163146,68
"seed 42, 1000 trees",0.16801557577150739,0.09788068098545108,-0.070595513516058,-0.05613318102384494,1.1211251425714361,1.2881080554276474,31.8950870703004,3.0301952503326466,-0.04602951419754656,-0.23496463934330192,0.6470588235294118,-22.933492720394135,1.3907644796702494,10.158588416299397,14.02166664995248,0.4355858413766578,8.003963096878282e-16,0.23126596131108507,68
