experiment,lp_constraint,oos_r2_pct,rank_ic,corr_pred_beta60,corr_pred_betabab,ir,sharpe,cagr_pct,alpha_t,beta,beta_t,hit_rate,max_dd_pct,calmar,long_leg_cagr_pct,short_leg_cagr_pct,avg_turnover,avg_abs_beta60_exposure,avg_abs_betabab_exposure,n_months
"baseline: features=Modern, LP on beta_60m",beta_60m,0.1547364921216321,0.09534076946220334,-0.06421339718634715,-0.04280334353264894,1.1989475426789467,1.3648249059003623,34.528705810889605,3.1792993765785433,-0.01921283457969812,-0.09739177717397146,0.6617647058823529,-22.568649467901945,1.5299411628506054,13.098554893283175,13.187939942844483,0.45321447705321427,7.27818540729681e-16,0.23204922572893488,68
LP on betabab_1260d,betabab_1260d,0.1547364921216321,0.09534076946220334,-0.06421339718634715,-0.04280334353264894,0.9076786039207377,1.0648594234704893,26.449364269595765,2.412355537771333,0.056474799131364675,0.2713994539193157,0.6176470588235294,-35.01063094430915,0.7554666555900791,10.678457777990037,8.829409320565972,0.4579118700615363,0.14965615364400087,8.698107593662532e-16,68
LP on beta_60m AND betabab_1260d,beta_60m+betabab_1260d,0.1547364921216321,0.09534076946220334,-0.06421339718634715,-0.04280334353264894,1.0315098114532293,1.1993731118632656,28.98221376439345,2.6961669273806295,0.08203233755182084,0.42134386527197176,0.6470588235294118,-27.458900526850528,1.0554761191568234,10.778123845153132,10.60727503125596,0.464046478673243,4.892430415041648e-16,4.951104885552629e-16,68
"+beta_60m feature, LP on beta_60m",beta_60m,0.14794887890386965,0.08299194362264396,0.0278039470400743,-0.06444996409447502,1.0032536134964047,1.1757350019297337,27.578628039974017,2.866621126516179,-0.1280851559936307,-0.6774202279655736,0.6764705882352942,-21.184220231857488,1.301847683706593,6.603782882400133,13.630400735971504,0.44998383857621443,6.698838787599262e-16,0.3020305068346438,68
"+beta family (4) features, LP on beta_60m",beta_60m,0.15469712140879777,0.08001880220092372,0.007818336030613096,-0.06910495889844062,1.2541701061163746,1.4186854127972446,36.567300083308155,3.2086867206197183,0.07914844128878071,0.3983663961381293,0.6470588235294118,-23.247135488417282,1.5729808991532548,12.913621320249558,14.844971807081642,0.4396305489248733,8.849640791416976e-16,0.2052466342993068,68
"+beta family (4) features, LP on both betas",beta_60m+betabab_1260d,0.15469712140879777,0.08001880220092372,0.007818336030613096,-0.06910495889844062,1.1271949672261539,1.2939848366203668,32.06710619320947,2.868577036959947,0.13491269182574797,0.6900747402280317,0.6470588235294118,-24.057102489365402,1.3329579573178003,10.24225129516736,13.271438625924636,0.44194089811458975,5.650606616600923e-16,5.190394682680017e-16,68
