target_month,port_excess_ret,long_leg_ret,short_leg_ret,gross_exposure,net_exposure,beta_exposure,betabab_exposure,max_abs_sector_net,max_sector_gross_share,turnover_cap_relaxed,turnover_relax_mult,n_long,n_short,n_positions,month,tb3ms_annual_pct,rf_monthly,month_sp,sp500_ret,benchmark_monthly,active_ret,rolling_beta_12m,drawdown,sp500_drawdown,trade_cost,borrow_cost,traded_notional,net_port_excess_ret,net_rolling_beta_12m
2021-01-31,-0.0035293690876473053,0.01929803143137329,-0.0228274005190206,1.999999999999998,0.0,-5.273559366969494e-16,-5.412337245047638e-16,0.05,0.22500000000000003,False,1.0,101,101,202,2021-01-31,0.08,6.666666666666667e-05,2021-01-31,-0.011136640158463607,0.0034000000000000002,-0.006862702420980639,,-0.0035293690876473383,-0.011136640158463607,0.0015551480298090859,0.0005276110223568145,1.9999999999999987,-0.005612128139813205,
2021-02-28,-0.01305144225191323,0.05046822582858015,-0.06351966808049336,1.9999999999999987,5.551115123125783e-17,-2.914335439641036e-16,-9.020562075079397e-17,0.05000000000000001,0.23408090858636998,False,1.0,106,106,212,2021-02-28,0.04,3.3333333333333335e-05,2021-02-28,0.026091474971999817,0.0033666666666666667,-0.016384775585246564,,-0.01653474798272747,0.0,0.0003443536447725897,0.0005294039021746167,0.4000000000000001,-0.013925199798860437,
2021-03-31,0.009302010026619827,0.031669313619671874,-0.022367303593052047,1.9999999999999987,2.0816681711721685e-17,-3.191891195797325e-16,-7.979727989493313e-17,0.05000000000000002,0.22627723747139217,False,1.0,109,109,218,2021-03-31,0.03,2.4999999999999998e-05,2021-03-31,0.04243863400810777,0.0033583333333333334,0.005968676693286493,,-0.00738654434763053,0.0,0.0003374206254684895,0.0005249898006771794,0.39999999999999997,0.008439599600474159,
2021-04-30,0.0681972570230797,0.05913235098620382,0.009064906036875875,1.9999999999999987,-1.3877787807814457e-17,1.3877787807814457e-16,-4.163336342344337e-17,0.050000000000000024,0.237953398659266,False,1.0,113,109,222,2021-04-30,0.02,1.6666666666666667e-05,2021-04-30,0.05242531255584737,0.00335,0.06486392368974638,,0.0,0.0,0.00033564997203368443,0.0005278714048897566,0.4,0.06733373564615626,
2021-05-31,0.00010340184141114511,-5.344048755929565e-05,0.00015684232897044108,1.999999999999999,-1.1796119636642288e-16,-8.326672684688674e-17,-1.3183898417423734e-16,0.05,0.26437871711792466,False,1.0,113,112,225,2021-05-31,0.02,1.6666666666666667e-05,2021-05-31,0.005486502581813157,0.00335,-0.0032299314919221884,,0.0,0.0,0.00032649585073042436,0.0005357671551837752,0.3999999999999999,-0.0007588611645030544,
2021-06-30,-0.033047250681675286,0.018376473703373957,-0.051423724385049246,1.9999999999999991,1.249000902703301e-16,-3.191891195797325e-16,-6.696032617270475e-16,0.05000000000000002,0.28273700925879786,False,1.0,118,112,230,2021-06-30,0.04,3.3333333333333335e-05,2021-06-30,0.02221397632316946,0.0033666666666666667,-0.03638058401500862,,-0.033047250681675244,0.0,0.0003479239026330579,0.000530558230599589,0.40000000000000013,-0.03392573281490793,
2021-07-31,0.08132940941111144,0.0067592543905837035,0.07457015502052773,1.9999999999999991,8.326672684688674e-17,-2.7755575615628914e-17,-4.0245584642661925e-16,0.05,0.2980783889567169,False,1.0,117,111,228,2021-07-31,0.05,4.1666666666666665e-05,2021-07-31,0.02274810936591054,0.0033750000000000004,0.07799607607777811,,0.0,0.0,0.00033174964765489754,0.0005345396670611115,0.4000000000000001,0.08046312009639543,
2021-08-31,0.033822265639253495,0.0417437261337701,-0.00792146049451661,1.999999999999999,-1.5265566588595902e-16,1.942890293094024e-16,-1.1102230246251565e-16,0.05000000000000002,0.3142127214647745,False,1.0,116,114,230,2021-08-31,0.05,4.1666666666666665e-05,2021-08-31,0.028990321391681118,0.0033750000000000004,0.03048893230592016,,0.0,0.0,0.0003382585475056368,0.0005368763509343196,0.4,0.032947130740813534,
2021-09-30,-0.026390985982119943,-0.04283143137306142,0.016440445390941465,1.9999999999999987,0.0,-3.191891195797325e-16,-2.7755575615628914e-17,0.05000000000000001,0.31901803339251117,False,1.0,112,113,225,2021-09-30,0.04,3.3333333333333335e-05,2021-09-30,-0.047569140421166334,0.0033666666666666667,-0.029724319315453277,,-0.026390985982120085,-0.047569140421166445,0.00033431749586769016,0.0005369702183388934,0.40000000000000013,-0.027262273696326528,
2021-10-31,0.04398108099363375,0.07334824959902511,-0.02936716860539137,1.999999999999999,0.0,2.220446049250313e-16,1.6653345369377348e-16,0.05000000000000002,0.31773140068094213,False,1.0,114,114,228,2021-10-31,0.05,4.1666666666666665e-05,2021-10-31,0.06914387330123462,0.0033750000000000004,0.040647747660300416,,0.0,0.0,0.00033377225823373954,0.0005429524217751146,0.3999999999999999,0.04310435631362489,
2021-11-30,0.02087242923461242,-0.02720233780657848,0.0480747670411909,1.9999999999999991,2.220446049250313e-16,8.326672684688674e-17,2.498001805406602e-16,0.05000000000000001,0.3145335067693524,False,1.0,111,114,225,2021-11-30,0.05,4.1666666666666665e-05,2021-11-30,-0.00833373141847149,0.0033750000000000004,0.017539095901279087,,0.0,-0.00833373141847149,0.0003292943533071978,0.0005392027394775336,0.3999999999999999,0.02000393214182769,
2021-12-31,0.02095629192845904,0.03783986868046813,-0.016883576752009088,1.9999999999999991,-1.1102230246251565e-16,2.3592239273284576e-16,-8.326672684688674e-17,0.050000000000000024,0.2872843721510073,False,1.0,114,118,232,2021-12-31,0.06,4.9999999999999996e-05,2021-12-31,0.04361287497262989,0.0033833333333333337,0.017622958595125707,0.5933379963806418,0.0,0.0,0.00034035821694460103,0.0005464488350163991,0.3999999999999998,0.020069484876498043,0.596723136074121
2022-01-31,0.015860194265112988,-0.09622293185989542,0.1120831261250084,1.9999999999999991,-2.7755575615628914e-17,-4.579669976578771e-16,1.6653345369377348e-16,0.05000000000000002,0.2887069771990973,False,1.0,113,113,226,2022-01-31,0.15,0.000125,2022-01-31,-0.05258508910699977,0.0034583333333333337,0.012526860931779654,0.39857507041573065,0.0,-0.05258508910699977,0.00034487667069018013,0.0005524289062497733,0.3999999999999999,0.014962888688173035,0.39866376952536975
2022-02-28,-0.033861032816893885,-0.009914804022336566,-0.023946228794557316,2.0,1.1102230246251565e-16,-2.220446049250313e-16,-5.551115123125783e-17,0.05000000000000001,0.2705316261224883,False,1.0,121,118,239,2022-02-28,0.33,0.000275,2022-02-28,-0.03136052086678265,0.0036083333333333336,-0.03719436615022722,0.5094821842948167,-0.0338610328168939,-0.08229651418956074,0.0003344850474182242,0.0005576023538104858,0.4,-0.034753120218122595,0.5096075097244703
2022-03-31,-0.027367462142597575,0.005130836814027629,-0.032498298956625205,1.9999999999999987,8.326672684688674e-17,0.0,1.1102230246251565e-16,0.05,0.2613539552218775,False,1.0,123,115,238,2022-03-31,0.44,0.00036666666666666667,2022-03-31,0.03577323877328009,0.0037,-0.03070079547593091,0.47268382604593334,-0.060301804425765826,-0.04946728826859237,0.0003540773292134928,0.0005625400529033175,0.39999999999999986,-0.028284079524714383,0.47273108061792435
2022-04-30,0.012669606395795195,-0.10302584623448939,0.11569545263028459,2.0,-5.551115123125783e-17,1.942890293094024e-16,2.220446049250313e-16,0.05000000000000001,0.2474309571006505,False,1.0,125,115,240,2022-04-30,0.76,0.0006333333333333333,2022-04-30,-0.08795671914903935,0.003966666666666667,0.009336273062461861,0.22237108581469922,-0.04839619815700136,-0.13307302703632662,0.00035770249950924484,0.0005619130959705068,0.3999999999999998,0.011749990800315444,0.22251847110304507
2022-05-31,0.011139920806451549,-0.006771428104950252,0.017911348911401802,1.8649358958564335,1.6653345369377348e-16,2.636779683484747e-16,5.551115123125783e-17,0.05000000000000002,0.19308320566474696,False,1.0,128,114,242,2022-05-31,0.98,0.0008166666666666666,2022-05-31,5.324388360872234e-05,0.00415,0.007806587473118215,0.22499445585380715,-0.037795407165352124,-0.1330268684774809,0.0003693219460076915,0.000518006271791743,0.39999999999999997,0.010252592588652115,0.22513639824315435
2022-06-30,0.008305203704335799,-0.08663100260176582,0.09493620630610164,1.9999999999999987,2.7755575615628914e-17,-3.608224830031759e-16,1.3877787807814457e-16,0.05,0.20359170382062033,False,1.0,133,120,253,2022-06-30,1.49,0.0012416666666666667,2022-06-30,-0.08391999322386645,0.004575,0.004971870371002465,0.23253862960981636,-0.029804102016612877,-0.20578324780012514,0.00034249432983127914,0.0005485658690373491,0.3999999999999998,0.0074141435054671705,0.23265684410877496
2022-07-31,0.008775688202081241,0.12493191465914055,-0.11615622645705928,1.9999999999999987,8.326672684688674e-17,5.551115123125783e-17,-5.551115123125783e-17,0.05000000000000002,0.2187231075524786,False,1.0,137,126,263,2022-07-31,2.23,0.0018583333333333334,2022-07-31,0.09111634763220589,0.005191666666666667,0.005442354868747907,0.12140463381095021,-0.02128996532097238,-0.1334171181113598,0.0003442572542063659,0.0005689584581075554,0.4000000000000001,0.00786247248976732,0.12141790103762225
2022-08-31,-0.06421177928767725,-0.062358973527256625,-0.0018528057604206248,1.9999999999999996,-3.885780586188048e-16,1.1102230246251565e-16,2.220446049250313e-16,0.05000000000000001,0.21851100182117886,False,1.0,128,120,248,2022-08-31,2.63,0.002191666666666667,2022-08-31,-0.04244011921681046,0.005525,-0.06754511262101058,0.15891747576537285,-0.0841346780544171,-0.17019499892996082,0.0003596812534516895,0.0005503028609835333,0.39999999999999997,-0.06512176340211248,0.15893098904164865
2022-09-30,0.01869924248291785,-0.09368585595039436,0.11238509843331218,1.9999999999999993,2.220446049250313e-16,-1.3877787807814457e-17,-1.3877787807814457e-16,0.05,0.23482802089671015,False,1.0,133,120,253,2022-09-30,3.13,0.0026083333333333336,2022-09-30,-0.09339570164348932,0.005941666666666667,0.015365909149584515,0.0817888947026271,-0.0670086903176611,-0.24769521923217352,0.0003343244274380432,0.0005493423354421736,0.39999999999999997,0.017815575720037634,0.08179839727484187
2022-10-31,-0.011595913153291677,0.0760047109872669,-0.08760062414055857,1.990101628459651,6.938893903907228e-17,-5.551115123125783e-17,-5.551115123125783e-17,0.05000000000000001,0.22175026159978725,False,1.0,138,122,260,2022-10-31,3.72,0.0031000000000000003,2022-10-31,0.07986345457689326,0.006433333333333334,-0.014929246486625011,-0.025316004332827914,-0.07782757651751337,-0.18761356054534262,0.0003617395743449967,0.0005535472862602557,0.3999999999999999,-0.012511200013896929,-0.025381110256556302
2022-11-30,-0.01769386027269126,0.060522949279522766,-0.07821680955221404,1.999999999999999,-4.163336342344337e-17,1.5265566588595902e-16,9.71445146547012e-17,0.050000000000000024,0.21127978145597706,False,1.0,128,120,248,2022-11-30,4.15,0.0034583333333333337,2022-11-30,0.053752860293699856,0.006791666666666667,-0.021027193606024595,-0.04292697723548445,-0.09414436652594149,-0.14394546576084022,0.0003462740550208772,0.0005632382083416156,0.40000000000000013,-0.018603372536053753,-0.04300062498847158
2022-12-31,0.04008778582547281,-0.05752358931358675,0.09761137513905956,1.999999999999999,-5.551115123125783e-17,-2.7755575615628914e-17,-8.326672684688674e-17,0.050000000000000024,0.2296632417588378,False,1.0,124,116,240,2022-12-31,4.25,0.003541666666666667,2022-12-31,-0.058971449299161094,0.006875000000000001,0.036754452492139475,-0.11867080050635251,-0.05783061990243543,-0.19442824232404177,0.0003365490836031728,0.000565240009384895,0.4000000000000002,0.03918599673248474,-0.11876490302268722
2023-01-31,-0.02829048799243096,0.08057766626608857,-0.10886815425851949,1.999999999999999,-4.163336342344337e-17,-5.551115123125783e-17,8.326672684688674e-17,0.05,0.24923108753382364,False,1.0,129,122,251,2023-01-31,4.54,0.0037833333333333334,2023-01-31,0.06175283240005203,0.007116666666666667,-0.031623821325764294,-0.12646759743915711,-0.08448505143692153,-0.144681904586063,0.00033657173757046415,0.0005748224695243312,0.3999999999999999,-0.029201882199525755,-0.12656104039320681
2023-02-28,0.02809743080872755,-0.007456029811062423,0.035553460619789964,1.9999999999999991,1.1102230246251565e-16,0.0,-5.551115123125783e-17,0.05000000000000002,0.24557263626665565,False,1.0,121,115,236,2023-02-28,4.65,0.0038750000000000004,2023-02-28,-0.026112446646715304,0.007208333333333334,0.024764097475394216,-0.15386318926187884,-0.0587614335153146,-0.16701635271852955,0.000331350335041214,0.000548844697072622,0.4,0.027217235776613714,-0.15396143288431122
2023-03-31,0.04976924081516457,-8.154820947947944e-05,0.04985078902464406,2.0,1.1102230246251565e-16,1.1796119636642288e-16,1.3877787807814457e-17,0.05000000000000001,0.2236018766637132,False,1.0,122,121,243,2023-03-31,4.69,0.003908333333333334,2023-03-31,0.03505157235872702,0.007241666666666667,0.04643590748183123,-0.09276624643297185,-0.01191670463541794,-0.1378189661322068,0.00032380956607847515,0.0005532235504493594,0.3999999999999999,0.04889220769863673,-0.09283325594636611
