arm,ic,ic_t,d_ic_vs_comp,paired_t_vs_comp,resid_ic_after_comp,resid_ic_t,rank_corr_with_comp,ic_small,ic_mid,ic_large,ir_gross,ir_net,beta,max_dd_net_pct,kill_ml_adds_lt_0.005_ic,kill_orth_resid_ic_lt_0.01
comp,0.03664503081739846,1.914576303308223,0.0,,,,,0.051166522069074474,0.0358579364761016,0.014525598233123676,0.6147635085044834,0.5411376376523045,-0.061288239145670664,-18.946959830379818,False,False
lgbm_init,0.029593734482010497,1.8752494783891571,-0.007051296335387973,-0.45669248414050273,-0.0021570686481892725,-0.12546270265337056,0.49587601903603495,0.039371259573749616,0.03071438326808873,0.013168421151601172,-0.11516222442764353,-0.20833184716677083,-0.13709059411325192,-25.613375213027012,True,True
lgbm_init_forced50,0.02539490354098136,1.7495144487849583,-0.011250127276417107,-0.6332344930802674,0.0019947816421889467,0.1476737117166256,0.4842983853587338,0.03332756157197706,0.023873014825374,0.014563838943065767,-0.03336064774188655,-0.11660095062771883,-0.15650581813047873,-27.613726764978765,True,True
et_resid,0.02903800920710372,1.8371466319825889,-0.007607021610294744,-0.453790461245338,0.0006228594027229192,0.04184798105040691,0.5550463213084718,0.03764883085518785,0.02662448431486204,0.015719959053881245,-0.1969203243741309,-0.2902760664718134,-0.12415588117405438,-27.561769215919828,True,True
et_resid_forced_s1,0.02659827544124104,1.813865625937142,-0.010046755376157424,-0.5539187112490673,0.0026263678547739483,0.1874112706922608,0.49728313711082217,0.03583037836455468,0.021742446221657157,0.015276811846228599,-0.14895135471507998,-0.2343281173096054,-0.11586389900478797,-32.02815343738338,True,True
ridge_prior,0.021747353331252245,1.3558730810835689,-0.014897677486146219,-0.9336057621446989,-0.01491463944294518,-0.7911167338322368,0.4489185541173311,0.031769382923761476,0.020945826442631446,0.004939691123240057,-0.5435198031178023,-0.6360785520577078,-0.10494243505484288,-38.41745147237027,True,True
orth_alone,-0.00044883214330622076,-0.029534437262231553,-0.037093862960704695,-1.3713961317170205,-0.00044883214330622006,-0.029534437262231508,-0.07351683672952788,0.008436506071408506,-0.012035080595676729,-0.005700999590070316,-0.8577877270782073,-0.9238096160330571,-0.13989394503566094,-57.808052438487834,True,True
comp_plus_orth,0.02556376067082656,1.7004348358897126,-0.011081270146571906,-0.7648762350375654,-0.00044883214330622006,-0.029534437262231508,0.6374424876081941,0.0404978965846919,0.017172980433725626,0.011797161209164493,-0.34317079296384184,-0.42405847714693407,-0.1190630060187082,-40.66946770679264,True,True
