arm,ic,ic_t,d_ic_vs_single_raw1,paired_t_vs_single_raw1,d10_d1,ir_gross,ir_net,beta,max_dd_net_pct
t_raw1,0.016545972127307507,1.1096353474122456,0.0,,-0.18975031595389752,-0.282785990335443,-0.36946914245752116,-0.1148414925144507,-37.155204517456056
t_gauss1,0.021245716837277016,1.3833217093274028,0.0046997447099694995,1.1691082272703175,-0.2267236289282616,-0.32986219687628027,-0.4109286487365842,-0.05097856060185476,-36.5076276716604
t_sector1,0.019795643622793537,1.2479848357620458,0.0032496714954860233,0.6800477368021739,-0.020021820518267064,-0.19024823207799843,-0.276831268321059,-0.07169517417090612,-36.96007562455972
t_raw3,0.01321436947773865,0.8687307191496952,-0.0033316026495688587,-0.7965074312976428,-0.1107327602054714,-0.34655639879077854,-0.43209280809061845,-0.11096781376161155,-35.28624325349465
t_raw6,0.01344062354156962,0.8724105940548842,-0.003105348585737889,-0.43217407228061944,-0.061659546769175844,-0.23051323437254545,-0.3128084964424667,-0.12869930581586067,-38.50656866346106
ens_equal,0.01681239243235984,1.079600633402995,0.0002664203050523261,0.1072084908796435,-0.15665649059494136,-0.3565600397884844,-0.44738465065365346,-0.0752019902769483,-32.86152877125665
ens_ridge,-0.002454555473745776,-0.19146012006518215,-0.01900052760105329,-1.059491965657998,-0.7510528476393152,-1.180435611928938,-1.2935521041082354,-0.0027879616826133463,-34.83240492010524
ens_ridge_neutral,-0.0031246066056367055,-0.3164575410762945,-0.019670578732944217,-1.2436426959657314,-0.5308788365110572,-1.1572455968560333,-1.2815967095503544,0.0476588057369319,-30.3473153885379
