model,decile,mean_monthly_excess_ret_pct,universe_mean_pct
rf3,1,0.6677414192304937,0.7738955408894147
rf3,2,0.5138367505139237,0.7738955408894147
rf3,3,0.7241744814082063,0.7738955408894147
rf3,4,0.738836642678863,0.7738955408894147
rf3,5,0.854475287112451,0.7738955408894147
rf3,6,0.7300936846008135,0.7738955408894147
rf3,7,0.9348117428368007,0.7738955408894147
rf3,8,0.7992930941531424,0.7738955408894147
rf3,9,0.8629618004228863,0.7738955408894147
rf3,10,0.910831692901269,0.7738955408894147
et,1,0.828649252901654,0.7738955408894147
et,2,0.3917816000918277,0.7738955408894147
et,3,0.7134210656169296,0.7738955408894147
et,4,0.9891091834278221,0.7738955408894147
et,5,0.9255449861504559,0.7738955408894147
et,6,0.8514047383429437,0.7738955408894147
et,7,0.7113759178595823,0.7738955408894147
et,8,0.6917511386119152,0.7738955408894147
et,9,0.8506097395364818,0.7738955408894147
et,10,0.7841748074581348,0.7738955408894147
lgbm,1,0.9110243454232161,0.7738955408894147
lgbm,2,0.4853938315363958,0.7738955408894147
lgbm,3,0.7878665930364941,0.7738955408894147
lgbm,4,0.872895689449436,0.7738955408894147
lgbm,5,0.966240958624404,0.7738955408894147
lgbm,6,0.6485817792467162,0.7738955408894147
lgbm,7,0.5661449516503149,0.7738955408894147
lgbm,8,0.8288047831662428,0.7738955408894147
lgbm,9,0.8540132409928356,0.7738955408894147
lgbm,10,0.8179057576482657,0.7738955408894147
cat,1,0.8810810444672307,0.7738955408894147
cat,2,0.5454371043024362,0.7738955408894147
cat,3,0.7116240592089599,0.7738955408894147
cat,4,0.6797114785356909,0.7738955408894147
cat,5,0.7549402714401885,0.7738955408894147
cat,6,0.8575942519748645,0.7738955408894147
cat,7,0.7751704000535369,0.7738955408894147
cat,8,0.7292629550510241,0.7738955408894147
cat,9,0.8473229853214217,0.7738955408894147
cat,10,0.9552743184578962,0.7738955408894147
xgb2,1,0.690347471698034,0.7738955408894147
xgb2,2,0.6168119626856632,0.7738955408894147
xgb2,3,0.9363375862631123,0.7738955408894147
xgb2,4,0.7997071844628122,0.7738955408894147
xgb2,5,0.6364216159737942,0.7738955408894147
xgb2,6,0.7033168659308049,0.7738955408894147
xgb2,7,0.5889488637621904,0.7738955408894147
xgb2,8,0.8266455366092743,0.7738955408894147
xgb2,9,1.0792926485145162,0.7738955408894147
xgb2,10,0.8605835703862,0.7738955408894147
ens5,1,0.7467143880299155,0.7738955408894147
ens5,2,0.6077106764984653,0.7738955408894147
ens5,3,0.7347987675385974,0.7738955408894147
ens5,4,0.7124119035434159,0.7738955408894147
ens5,5,0.8632807028101498,0.7738955408894147
ens5,6,0.836579995542496,0.7738955408894147
ens5,7,0.751594535355466,0.7738955408894147
ens5,8,0.7582231771464365,0.7738955408894147
ens5,9,0.8297134288539885,0.7738955408894147
ens5,10,0.8974324350561428,0.7738955408894147
