side,target_fdr_q,months_total,months_with_any_selection,avg_names_selected_when_any,precision_of_selected(win_rate),realised_FDR(1-precision),base_rate_win,precision_same_size_topk,mean_ret_selected_pct,mean_ret_unselected_pct,mean_ret_same_size_topk_pct
long,0.6,68,51,40.15686274509804,0.30642012496915066,0.6935798750308493,0.3,0.30642012496915066,0.8642460525313074,0.9383907592958391,0.8642460525313076
long,0.65,68,53,47.264150943396224,0.29567258905115334,0.7043274109488467,0.3,0.29567258905115334,1.0540591236715973,0.8075203248321083,1.054059123671597
long,0.7,68,56,54.392857142857146,0.2822355215223224,0.7177644784776775,0.3,0.2822355215223224,0.6148100385770725,0.85100095407245,0.6148100385770724
short,0.6,68,57,62.54385964912281,0.449618198578539,0.550381801421461,0.3,0.449618198578539,0.6562316881422062,-0.9098793889558251,0.6562316881422062
short,0.65,68,60,81.8,0.43637993805690295,0.5636200619430971,0.3,0.43637993805690295,-0.6268888113487392,-0.9205427975432214,-0.6268888113487394
short,0.7,68,62,103.30645161290323,0.4347045804253976,0.5652954195746024,0.3,0.4347045804253976,-0.48090005395869506,-0.9289964899969259,-0.4809000539586954
