arm,ic,ic_t,d_ic_vs_comp,paired_t_vs_comp,resid_ic_after_comp,ic_small,ic_mid,ic_large,ir_gross,ir_net,beta,max_dd_net_pct,avg_trees_chosen,paired_t_vs_orig,d_ic_vs_orig
comp,0.03664503081739846,1.914576303308223,0.0,,,0.051166522069074474,0.0358579364761016,0.014525598233123676,0.6147635085044834,0.5411376376523045,-0.061288239145670664,-18.946959830379818,,0.8482880780065021,0.018514910635190715
orig,0.01813012018220775,1.4199323437081168,-0.01851491063519072,-0.8482880780065021,0.004775805982642899,0.02591325564309721,0.01212201182362744,0.006737550902392029,-0.41107615601523556,-0.49262016314289786,-0.1480294708379547,-40.96887268650201,166.66666666666666,,0.0
era_avg,0.005426769957928898,0.3652739590373057,-0.031218260859469563,-1.3356547953266118,-0.004271677375724793,0.009629953704180585,-0.0024872395122815323,-0.0011838888428252197,-0.8427669374138848,-0.9307082666963633,-0.17415624765031745,-43.34449892034079,216.66666666666666,-1.910372612880998,-0.012703350224278851
era_softmin,0.004199157167549455,0.2742762657916788,-0.032445873649849015,-1.329399316422026,-0.004252494146436393,0.013689942676219825,-0.004256928457017517,-0.008330481493668872,-0.728676967898697,-0.8101336746675191,-0.1524348488029386,-41.75103021158449,141.66666666666666,-1.7733218812001648,-0.013930963014658293
era_dir,0.01419791301444895,1.0333429897767508,-0.022447117802949515,-1.0571614317188758,0.0004982195976975005,0.02342545436728624,0.007334705474086034,0.0029213859022676446,-0.4383141442953306,-0.5274673925125785,-0.17298986162187252,-33.06006412388721,183.33333333333334,-0.9332338126542274,-0.003932207167758798
era_dir_size,0.01288044563329912,0.9172402846975197,-0.02376458518409934,-1.1294684735746279,-0.00048128119754062363,0.021305034474735758,0.007421689649799816,-0.0008407985474677716,-0.33045861565607604,-0.409968138216716,-0.12779572871717418,-35.273273783284175,158.33333333333334,-1.1267299459942852,-0.005249674548908628
orig_init,0.016087334521082824,0.9950224457878579,-0.020557696296315632,-1.7731857197268155,-0.019971814821136066,0.03484923618549035,0.01504737033925215,-0.0131832774872722,-0.061373966807792425,-0.16619326517046604,-0.1766883273726234,-25.463115886843358,91.66666666666667,-0.11742678542441838,-0.002042785661124924
era_dir_init,0.021220509767664725,1.3159621013138372,-0.015424521049733738,-1.4373734284737945,-0.01621717567339907,0.039001311640712154,0.019621996290212697,-0.006225305900702198,-0.18275227219648763,-0.28487795797703686,-0.21834942890649678,-23.553780394658453,100.0,0.1784702636152962,0.003090389585456977
era_dir_size_init,0.0197103176261961,1.2134562090621068,-0.016934713191202353,-1.6265176562165453,-0.017829231990134052,0.03795282855586782,0.01793064187716444,-0.009412101650213663,0.07818770439437847,-0.028076202178213102,-0.17265332523556487,-19.94655878058962,91.66666666666667,0.09016119210030565,0.0015801974439883515
