group,shapley_ic,leave_one_out_ic
value,0.01974657877474279,0.02755943221990125
profitability,0.0040799137736954065,0.03765062740033873
investment_issuance_accruals,0.006978382722945767,0.034150889550414475
quality,0.0027537472360874785,0.03883159403123733
surprise,0.00011120218112674938,0.03596759797003445
volatility_beta,0.002606765203805143,0.03804404703658993
liquidity,0.000368440924995133,0.03654929513821375
