dropped_group,ic,ir_gross,ir_net,max_dd_net_pct,cy2025_net
value,0.02755943221990125,0.4966135740028799,0.4172516519845099,-22.66450275207098,-0.12917273819663222
profitability,0.03765062740033873,0.627059952901284,0.5573388502767125,-25.748141257527134,-0.1289803207145095
investment_issuance_accruals,0.034150889550414475,0.6003516060415696,0.5216430230929477,-18.507546818402233,-0.1255565373366888
quality,0.03883159403123733,0.6426242719471668,0.5731697379762317,-22.17863221960944,-0.11726021503256379
surprise,0.03596759797003445,0.647465063313543,0.5764896103621573,-21.407159685631438,-0.11260966811815987
volatility_beta,0.03804404703658993,0.7584310048328371,0.6813521588716999,-21.609951262708716,-0.1429244920586119
liquidity,0.03654929513821375,0.5825812234545996,0.5079466960111364,-23.615597927261668,-0.165862306208289
"(none, full composite)",0.03664503081739846,0.6147635085044834,0.5411376376523045,-18.946959830379818,-0.1239749100571631
