model,arm,ic,ic_control,mean_diff,t,share_a_better,ir_gross,ir_gross_control,ir_net,ir_net_control
et,demean_size,0.011912500652571718,0.016385163511344364,-0.004472662858772645,-0.655278395164036,0.4852941176470588,-0.5142034937552985,-0.2157522943954046,-0.5946114919956105,-0.30211206664561646
et,demean_sector,0.02058724709717517,0.016385163511344364,0.004202083585830813,0.9231004119683496,0.5441176470588235,-0.27353271438923454,-0.2157522943954046,-0.3592607139389332,-0.30211206664561646
et,demean_size_sector,0.015904127140512026,0.016385163511344364,-0.00048103637083232834,-0.06685777667523207,0.4852941176470588,-0.2813254583205233,-0.2157522943954046,-0.3653014675177652,-0.30211206664561646
et,resid_factor,0.02112739775604751,0.016385163511344364,0.004742234244703151,0.6066394594917413,0.5294117647058824,-0.11325958705109884,-0.2157522943954046,-0.20081902868085416,-0.30211206664561646
lgbm,demean_size,0.012076405524673626,0.016040181688447588,-0.00396377616377396,-0.5404104542679088,0.45588235294117646,-0.4472311787929626,-0.16677951673372302,-0.5275489849941762,-0.2512182581641528
lgbm,demean_sector,0.0210348888292839,0.016040181688447588,0.004994707140836315,0.9182978599791172,0.5294117647058824,-0.12291525741962193,-0.16677951673372302,-0.20836995505465014,-0.2512182581641528
lgbm,demean_size_sector,0.012019828655539827,0.016040181688447588,-0.004020353032907754,-0.5592115744279864,0.45588235294117646,-0.1607314747052683,-0.16677951673372302,-0.253115267289735,-0.2512182581641528
lgbm,resid_factor,0.018333063882120606,0.016040181688447588,0.002292882193673023,0.28722055809937946,0.5,-0.04305760144708875,-0.16677951673372302,-0.13762864589509133,-0.2512182581641528
