model,ic_oos,ic_t,paired_ic_vs_M0,paired_ic_t,ir_net_oos,max_dd_oos,paired_net_t,gain_17_18,gain_19_20,ic_2017,ic_2018,ic_2019,ic_2020,decision
M0_J13z,0.0021041772757111527,0.13507104795987648,0.0,,-0.5688840509916097,-0.141131615114517,,0.0,0.0,0.023176085252506456,0.05166376643782153,-0.03951941598424349,-0.026903726603239902,reference
M1_B1,0.0005749588423667728,0.03483648407882938,-0.0015292184333443825,-0.12799148285036852,-1.5133057365231546,-0.2492746013522381,-1.887566348012159,0.006961102337630844,-0.010019539204319609,0.055528839770784884,0.03323321659480479,-0.006519834092961748,-0.07994238690316086,reference
M2_ridge146,0.015390041037150462,0.6915772828537291,0.013285863761439318,0.8716421476574367,-0.037920901888831154,-0.14988778071879427,0.6117459705011916,-0.004742095988287694,0.03131382351116633,0.016485784321668345,0.048869875392084254,-0.0011366444659652644,-0.0026588510991854435,no evidence
M3_theme_ridge_prior,0.0020383246661746525,0.13094456730184248,-6.585260953650118e-05,-1.653985856039467,-0.49694663095818437,-0.1385762231429769,1.4332671328262196,-7.320886760258458e-05,-5.849635147041777e-05,0.023034352329871003,0.05165908162525181,-0.03952468006063206,-0.02701545522979215,rejected
M4_mono_gbm,0.02262114681054467,1.4106525092891091,0.020516969534833528,1.3443095233169908,-0.16531620853920986,-0.10297897841092529,0.6558499520620045,-0.001257247929122766,0.04229118699878981,0.023874810154961335,0.04845054567712112,0.013246829161231701,0.004912402248864547,no evidence
