name,kind,sign,coverage,block_ic,block_ic_t,comp_ic,comp_plus_block_ic,gain,gain_t,resid_ic,resid_ic_t,corr_with_comp,perm_p,gain_small,gain_mid,gain_large,ir_gross,ir_net,d_ir_gross,kill_gain_t_lt_1,kill_only_small_tercile,perm_p_bonferroni,passes
m502_decayed_hl3,block,-1.0,0.9439202204179162,0.010104150932123551,2.3739926591382567,0.03664503081739846,0.036767635957174645,0.00012260513977618091,0.056743171040102534,0.0061745941651059535,1.3735410123502527,0.0780465091529604,0.029850746268656716,0.0007220552175736352,0.0015285752562725619,0.0008816281058784242,0.9131203798855563,0.8349295534228409,0.2983568713810729,True,False,0.208955223880597,False
m502_decayed_hl6,block,-1.0,0.9439202204179162,0.012502357727547849,2.869468950755298,0.03664503081739846,0.03768675564584164,0.001041724828443178,0.47497247497557626,0.008402939039857494,1.7824118564807747,0.08930817946490609,0.009950248756218905,0.002349006791346989,0.0021769248642510624,0.0014523702927339492,0.9151670320157407,0.8350326719127803,0.3004035235112573,True,False,0.06965174129353234,False
m502_decayed_hl12,block,-1.0,0.9439202204179162,0.01251504138058568,2.740364049597466,0.03664503081739846,0.037893254784552986,0.0012482239671545233,0.5543417510577034,0.008356786271098262,1.6602942740911588,0.09085581156741969,0.009950248756218905,0.0028426949371224896,0.0022950151724225702,0.0015616988351557684,0.9617575463304396,0.8789757335306871,0.3469940378259563,True,False,0.06965174129353234,False
m502_count_12m,block,-1.0,0.9439202204179162,0.011714790366551474,2.8189060467205054,0.03664503081739846,0.03762436303395218,0.0009793322165537188,0.4862176804158761,0.006117143165005757,1.2247101875127273,0.08761036636968755,0.014925373134328358,0.0025727814855052537,0.0021541011291393583,0.0009531174733616604,0.660320853823221,0.5810137001985142,0.045557345318737674,True,False,0.1044776119402985,False
m502_count_3m,block,-1.0,0.9439202204179162,0.006141967684424923,1.4259209176851952,0.03664503081739846,0.03558045138729984,-0.001064579430098627,-0.5955857786981623,-0.008584020031907506,-1.0112550215188756,0.05290082651041027,0.30845771144278605,-0.001560377089391473,-0.00025397284843644896,0.00016966483743111722,0.7550545366550784,0.6791809558121887,0.14029102815059502,True,False,1.0,False
m502_decayed_hl6_orth_size_liq_age,block,-1.0,1.0,0.01141004166308482,2.842541905466298,0.03664503081739846,0.03791566919733557,0.001270638379937113,0.6057608647888543,0.009710935930189894,2.2952961333195194,0.04389753075209232,0.004975124378109453,0.0021812233786414515,0.0026523393833330056,0.0015508129909499854,0.9435220298648779,0.8630812764823965,0.3287585213603945,True,False,0.03482587064676617,False
m502_decayed_hl6_orth_size_only,block,-1.0,1.0,0.013347090140214476,3.003621410571974,0.03664503081739846,0.03786316730165692,0.0012181364842584563,0.5555703161039643,0.009222951630905491,1.9818926576587768,0.09539688655713466,0.004975124378109453,0.002377123514204411,0.0022099421994220235,0.0017046126591307058,0.9587689259196199,0.8778543129993054,0.34400541741513657,True,False,0.03482587064676617,False
comp_plus_1x_m502_hl6,replacement_composite,,,0.03768675564584164,2.139978446469092,0.03664503081739846,0.03768675564584164,0.001041724828443178,0.47497247497557626,,,0.9242471327733438,,0.0023490067913469956,0.0021769248642510633,0.001452370292733941,0.9151670320157407,0.8350326719127803,0.3004035235112573,,,,
comp_plus_2x_m502_hl6,replacement_composite,,,0.03669158853976295,2.417756110765433,0.03664503081739846,0.03669158853976295,4.655772236448785e-05,0.009518197330547304,,,0.7842331096319114,,0.0013368383834598749,0.0011236914079645333,0.0030548593361935123,0.837020728730812,0.7499148802389143,0.22225722022632866,,,,
comp_plus_4x_m502_hl6,replacement_composite,,,0.0315332782043419,2.8368097336759575,0.03664503081739846,0.0315332782043419,-0.005111752613056563,-0.5486046439795638,,,0.5613032507476481,,-0.005553354577129098,-0.0033877234127300607,0.0026615528573412216,0.7118977820673178,0.6103287078828364,0.09713427356283444,,,,
