key,ic,ic_t,d_ic_vs_control,paired_t,ir_gross_t10,ir_net_t10,macro_importance_sum
et__control,0.016385163511344364,1.1020615569297978,0.0,,-0.2157522943954046,-0.30211206664561646,0.0
et__plus_ycurve,0.0344542364283749,2.496926815954803,0.018069072917030537,1.1867778273403378,-0.17639379082714782,-0.26909158850054804,0.5664166864860417
et__plus_credit,0.007589574450931029,0.3792892926424154,-0.008795589060413332,-0.8364366164193426,-0.27767642879869636,-0.35759627723661164,0.5644538846480156
et__plus_vix,0.02484436048093472,1.4193549171336033,0.008459196969590358,1.0207135134664143,-0.10046992974680372,-0.17944107629478936,0.6336965627647938
et__plus_all_macro,0.026421340756745206,1.425557402517971,0.010036177245400853,0.7729795101889901,0.15898005967899367,0.07595581067847691,0.8785490939278858
lgbm__control,0.016040181688447588,1.043617805868287,0.0,,-0.16677951673372302,-0.2512182581641528,0.0
lgbm__plus_ycurve,0.024594392797601793,1.630977115428665,0.008554211109154206,1.151011398336161,-0.35963154344459236,-0.4387727231795289,0.7091374395161841
lgbm__plus_credit,0.009151801650001923,0.4497639118586765,-0.006888380038445659,-0.6767752124440183,-0.44840659144536854,-0.5293797480222647,0.6475372378724612
lgbm__plus_vix,0.022533753369108442,1.285633035075891,0.006493571680660864,0.5720539787536345,-0.16544045734815657,-0.24107100797505474,0.7550381680038507
lgbm__plus_all_macro,0.021952607466031917,1.0914810285707504,0.005912425777584325,0.569287051006986,-0.13030872099519145,-0.20552480310836194,0.8969574792584971
