key,ic,t,d10_d1,ir_gross_t10,ir_net_t10,ir_gross_free
et__control,0.016385163511344364,1.1020615569297978,-0.16972952626052962,-0.2157522943954046,-0.30211206664561646,-0.1824276671485148
et__clf_expdec,0.02435181744210596,1.457665114767764,-0.1251103328685612,-0.3512097768252433,-0.4302592749275896,-0.16807927601165248
et__clf_top_minus_bottom,0.01114164882710196,0.752392094738736,-0.44043320361547283,-0.49541770732461576,-0.5804276535124128,-0.34634256225600957
et__clf_argmax,0.014727435248089844,1.2610212018042664,-0.26421358760940183,-0.48313290841209616,-0.5799382604569694,-0.31768217173621754
lgbm__control,0.016040181688447588,1.043617805868287,-0.17539327243380254,-0.16677951673372302,-0.2512182581641528,-0.2644450418533923
lgbm__clf_expdec,0.021154888872452916,1.3689699683446699,-0.25265294294101703,-0.3248809169350714,-0.4040188549413505,-0.18464029888849212
lgbm__clf_top_minus_bottom,0.00587118426479092,0.45615175444707906,-0.6217362427583957,-0.45101427279557144,-0.5422450501012842,-0.38599545228944676
lgbm__clf_argmax,0.01433888302806511,1.392773209237143,-0.3350550945303433,-0.19953109480470682,-0.29294592428399596,-0.38951475535284197
