utc,experiment,family,variant,hypothesis,params,discovery_window,selection_window,eval_window,test_touched,n_variants_in_family,ic,ic_t,ir_net,ir_gross,max_dd_net,paired_net_t_vs_base,decision,reason
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V3_C2,construction with fixed signal,"{""arm"": ""C2"", ""signal"": ""V3""}",dev,dev,dev,False,6,,,-0.6270,-0.4471,-0.1278,-0.7129,no evidence,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V3_C3,construction with fixed signal,"{""arm"": ""C3"", ""signal"": ""V3""}",dev,dev,dev,False,6,,,-0.7757,-0.5296,-0.1240,-0.9603,no evidence,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V3_C4,construction with fixed signal,"{""arm"": ""C4"", ""signal"": ""V3""}",dev,dev,dev,False,6,,,-0.5512,-0.3258,-0.0995,-0.5111,no evidence,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V3_C5,construction with fixed signal,"{""arm"": ""C5"", ""signal"": ""V3""}",dev,dev,dev,False,6,,,-0.4299,-0.2832,-0.1341,-0.2415,no evidence,
2026-09-24T08:48:41+00:00,desk_20_portfolio_construction,construction,V3_C6,construction with fixed signal,"{""arm"": ""C6"", ""signal"": ""V3""}",dev,dev,dev,False,6,,,-0.6207,-0.4821,-0.1856,-1.9142,rejected,
2026-09-24T08:50:21+00:00,desk_21_regime_timing,regime_timing,mom_drop_a,causal a-priori regime rule,"{""variant"": ""mom_drop_a""}",dev,dev,dev,False,8,0.0088,,-0.7854,,-0.2165,-0.3187,no evidence,
2026-09-24T08:50:21+00:00,desk_21_regime_timing,regime_timing,mom_half_a,causal a-priori regime rule,"{""variant"": ""mom_half_a""}",dev,dev,dev,False,8,0.0120,,-0.7978,,-0.2374,-1.0175,rejected,
2026-09-24T08:50:21+00:00,desk_21_regime_timing,regime_timing,invvol_a,causal a-priori regime rule,"{""variant"": ""invvol_a""}",dev,dev,dev,False,8,0.0165,,-0.6018,,-0.1933,0.9455,no evidence,
2026-09-24T08:50:21+00:00,desk_21_regime_timing,regime_timing,disp_a,causal a-priori regime rule,"{""variant"": ""disp_a""}",dev,dev,dev,False,8,0.0131,,-0.5996,,-0.1673,1.2674,no evidence,
2026-09-24T08:50:22+00:00,desk_21_regime_timing,regime_timing,mom_drop_b,causal a-priori regime rule,"{""variant"": ""mom_drop_b""}",dev,dev,dev,False,8,0.0072,,-0.1988,,-0.1055,0.3996,no evidence,
2026-09-24T08:50:22+00:00,desk_21_regime_timing,regime_timing,mom_half_b,causal a-priori regime rule,"{""variant"": ""mom_half_b""}",dev,dev,dev,False,8,0.0072,,-0.3043,,-0.1275,0.2502,no evidence,
2026-09-24T08:50:22+00:00,desk_21_regime_timing,regime_timing,invvol_b,causal a-priori regime rule,"{""variant"": ""invvol_b""}",dev,dev,dev,False,8,0.0114,,-0.3074,,-0.1431,0.3221,no evidence,
2026-09-24T08:50:22+00:00,desk_21_regime_timing,regime_timing,disp_b,causal a-priori regime rule,"{""variant"": ""disp_b""}",dev,dev,dev,False,8,0.0062,,-0.4895,,-0.1184,-0.2979,no evidence,
2026-09-24T08:51:41+00:00,desk_22_signal_decay,turnover_budget,to5,rebalance speed,"{""turnover"": ""to5""}",dev,dev,dev,False,3,0.0131,0.8707,-0.7697,-0.6494,-0.1834,0.1819,no evidence,
2026-09-24T08:51:41+00:00,desk_22_signal_decay,turnover_budget,to10,rebalance speed,"{""turnover"": ""to10""}",dev,dev,dev,False,3,0.0131,0.8707,-0.6680,-0.5386,-0.2443,nan,reference,
2026-09-24T08:51:42+00:00,desk_22_signal_decay,turnover_budget,to20,rebalance speed,"{""turnover"": ""to20""}",dev,dev,dev,False,3,0.0131,0.8707,-0.5894,-0.4187,-0.2805,0.2790,no evidence,
2026-09-24T08:51:42+00:00,desk_22_signal_decay,turnover_budget,to40,rebalance speed,"{""turnover"": ""to40""}",dev,dev,dev,False,3,0.0131,0.8707,-0.7307,-0.4815,-0.2681,-0.4451,no evidence,
2026-09-24T08:51:42+00:00,desk_22_signal_decay,decay,ic_by_horizon,signal decay 1-12m,{},dev,n/a,dev,False,1,,,,,,,diagnostic,
2026-09-24T08:52:50+00:00,desk_23_text_reopened,text_family,T1_novneg,text conditional/asymmetric/change,{},dev,dev,dev,False,5,0.0071,1.6356,,,,,no evidence,
2026-09-24T08:52:50+00:00,desk_23_text_reopened,text_family,T2_novneg_onesided,text conditional/asymmetric/change,{},dev,dev,dev,False,5,0.0032,0.6988,,,,,no evidence,
2026-09-24T08:52:50+00:00,desk_23_text_reopened,text_family,T3_tone_change,text conditional/asymmetric/change,{},dev,dev,dev,False,5,0.0017,0.3739,,,,,no evidence,
2026-09-24T08:52:50+00:00,desk_23_text_reopened,text_family,T4_novneg_exec_lit,text conditional/asymmetric/change,{},dev,dev,dev,False,5,-0.0010,-0.2690,,,,,no evidence,
2026-09-24T08:52:50+00:00,desk_23_text_reopened,text_family,T5_novneg_highSI,text conditional/asymmetric/change,{},dev,dev,dev,False,5,0.0029,0.4971,,,,,no evidence,
2026-09-24T08:52:56+00:00,desk_23_text_reopened,text_risk_overlay,C4_halfcap_top_decile_novneg,text as risk-management,{},dev,dev,dev,False,1,0.0131,0.8707,-0.7912,-0.6554,-0.2576,-0.9147,no evidence,
2026-09-24T08:53:44+00:00,desk_24_interactions,conditional_ic,I1_SI_high_vs_low,economically motivated conditional IC,{},dev,dev,dev,False,6,-0.0499,-2.4590,,,,,no evidence,
2026-09-24T08:53:44+00:00,desk_24_interactions,conditional_ic,I2_noadverse_vs_adverse_text,economically motivated conditional IC,{},dev,dev,dev,False,6,0.0125,1.2306,,,,,no evidence,
2026-09-24T08:53:44+00:00,desk_24_interactions,conditional_ic,I3_small_vs_large,economically motivated conditional IC,{},dev,dev,dev,False,6,0.0057,0.4263,,,,,no evidence,
2026-09-24T08:53:44+00:00,desk_24_interactions,conditional_ic,I4_illiquid_vs_liquid,economically motivated conditional IC,{},dev,dev,dev,False,6,0.0145,1.0102,,,,,no evidence,
2026-09-24T08:53:44+00:00,desk_24_interactions,conditional_ic,I5_lowvol_vs_highvol,economically motivated conditional IC,{},dev,dev,dev,False,6,0.0114,0.6797,,,,,no evidence,
2026-09-24T08:53:44+00:00,desk_24_interactions,conditional_ic,I6_lowattention_vs_high,economically motivated conditional IC,{},dev,dev,dev,False,6,-0.0177,-1.4114,,,,,no evidence,
2026-09-24T08:53:50+00:00,desk_24_interactions,interaction_signal,M1_qualvalue,multiplicative quality/profitability x value,{},dev,dev,dev,False,2,0.0060,0.4117,-0.9845,-0.8686,-0.3551,-2.6871,rejected,
2026-09-24T08:53:50+00:00,desk_24_interactions,interaction_signal,M2_profxvalue,multiplicative quality/profitability x value,{},dev,dev,dev,False,2,0.0021,0.1509,-1.2705,-1.1268,-0.2615,-2.4936,rejected,
2026-09-24T08:54:44+00:00,desk_25_model_classes,model_class,M2_ridge146,walk-forward ML inside DEV,"{""years"": [2017, 2018, 2019, 2020]}",dev(train<=Y-1),none (fixed hyperparameters),dev 2017-2020,False,3,0.0154,0.6916,-0.0379,,-0.1499,0.6117,no evidence,
2026-09-24T08:54:44+00:00,desk_25_model_classes,model_class,M3_theme_ridge_prior,walk-forward ML inside DEV,"{""years"": [2017, 2018, 2019, 2020]}",dev(train<=Y-1),none (fixed hyperparameters),dev 2017-2020,False,3,0.0020,0.1309,-0.4969,,-0.1386,1.4333,rejected,
2026-09-24T08:54:44+00:00,desk_25_model_classes,model_class,M4_mono_gbm,walk-forward ML inside DEV,"{""years"": [2017, 2018, 2019, 2020]}",dev(train<=Y-1),none (fixed hyperparameters),dev 2017-2020,False,3,0.0226,1.4107,-0.1653,,-0.1030,0.6558,no evidence,
2026-09-24T08:57:37+00:00,desk_26_multiple_testing,multiple_testing,audit,PBO/DSR/FDR over the run,"{""n_variants"": 27}",dev,n/a,dev,False,1,,,,,,,diagnostic,
