haircut_on_gross_alpha,expected_ic,expected_ir_gross,expected_ir_net_of_assumed_costs
0.0,0.03664503081739846,0.6147635085044825,0.5411883748219974
0.2,0.029316024653918773,0.4329558372699092,0.3593807035874239
0.4,0.02198701849043908,0.2511481660353357,0.1775730323528504
0.5,0.01832251540869923,0.1602443304180491,0.0866691967355638
0.57,0.015757363251481343,0.09661164548594847,0.023036511803463177
