scheme,cap,label,ir_gross,ir_net,sharpe_net,cagr_net_pct,ann_vol_net_pct,max_dd_net_pct,alpha_t_net,beta,beta_t,roll_beta_min,roll_beta_max,turnover_one_way_pct_gross,max_position_weight_pct,top10_share_of_gross,n_pos_min,n_pos_max,short_median_mcap_musd,max_abs_sector_net,max_sector_gross_share
ew,0.02,ew_cap20,0.5692237764512026,0.4671444147435869,0.7340272125944377,10.366660832323916,14.987852466367753,-26.987209926447242,1.8476824167086998,-0.08712985145047641,-0.7134246550138932,-0.6262368047850787,0.3344449009093444,12.398000211792976,2.0,0.05198463164332916,201.0,250.0,4772.720719999999,0.05000000000000013,0.3452617052949438
ew,0.01,ew_cap10,0.5711378047437631,0.4687439307557324,0.7390767307125612,10.326094635817196,14.796576666385967,-27.363843417765267,1.8776689172468735,-0.09592003978040792,-0.7964522637777465,-0.638738149081751,0.282766904353892,12.079548464159673,1.0000000000001836,0.04955153947046371,201.0,249.0,4779.82672,0.050000000000000155,0.3461452810180276
ivp,0.02,ivp_cap20,0.5410754296713416,0.43121819446980064,0.7323970165770574,9.23750943570434,13.28114630375806,-23.051109345637123,1.8058627837199563,-0.05805397190420087,-0.5354574453018859,-0.5095076412344192,0.28194799367961965,13.089501520824115,2.0,0.09353774533453002,198.0,247.0,4722.865315,0.05000000000000005,0.3291244600895211
ivp,0.01,ivp_cap10,0.6175114468475706,0.5075933184732787,0.7895158233596034,10.714641676157699,14.188296183069383,-25.894374070578085,1.9936031813632886,-0.09117475444254816,-0.7895175922438743,-0.6269487550835703,0.2875208798449144,13.372060317934062,1.0000000000000002,0.04999999999999999,201.0,251.0,4771.5703,0.050000000000000024,0.3499999999999999
hrp,0.02,hrp_cap20,0.46172926601525377,0.3282213813216901,0.595884770716076,8.096966716605447,14.944143123384872,-25.91876371783587,1.6374918414364856,-0.1473354442016705,-1.2193785092899996,-0.7105429719676142,0.2694088301491639,23.43331110773283,2.0,0.09999999999999998,201.0,248.0,4742.9442,0.050000000000000044,0.35000000000000003
hrp,0.01,hrp_cap10,0.5490918315567553,0.4248313218394112,0.7068614393739538,9.428648001063733,14.182882434568661,-27.56518491287151,1.7884039394884443,-0.08426002634225234,-0.729477973387623,-0.5970993062200595,0.2648201837305091,17.171484131926963,1.0000000000000002,0.04999999999999999,201.0,251.0,4751.7539,0.05000000000000001,0.34999999999999987
lp(lc_t10),0.01,,0.6449737918222886,0.5521156066054095,0.8159025845123353,11.85103195150865,,-27.515648310219976,,-0.09496835078843832,-0.7691699583274717,,,9.999999999999996,,,,,,,
