test_year,sparse_coef_l1_norm,ridgeless_coef_l1_norm,sparse_coef_l2_norm,ridgeless_coef_l2_norm
2021,0.0,0.20123307339469962,0.0,0.010308322916259037
2022,0.0,0.20072269246541202,0.0,0.010202504883434747
2023,0.0,0.19278589716387742,0.0,0.009892217008215232
2024,0.0,0.17706708299828772,0.0,0.009118900848967135
2025,0.0,0.16036023097700225,0.0,0.008314086531093964
2026,0.0,0.1521125043495301,0.0,0.00783915156178672
