model,arm,portfolio,n_features,oos_r2_pct,test_rank_ic,test_rank_ic_share_positive,mean_val_rank_ic,pred_rank_autocorr,ir_gross,ir_net,sharpe_gross,sharpe_net,cagr_gross_pct,cagr_net_pct,alpha_t_gross,alpha_t_net,beta,beta_t,roll_beta_min,roll_beta_max,roll_beta_months_gt1,max_dd_gross_pct,max_dd_net_pct,hit_rate_net,turnover_one_way_pct_gross,turnover_project_convention_pct,n_pos_min,n_pos_max,trade_cost_bp_nav_month,borrow_cost_bp_nav_month,short_median_mcap_musd,short_share_lt_2b,max_abs_sector_net,max_sector_gross_share,months_cap_relaxed
rf3,modern_nomom,legacy,12,0.22526015804384958,0.14343463036357176,0.8088235294117647,0.10680630765062671,0.8103856991849014,1.255354415022352,1.0943598288583414,1.4022724499352697,1.2410643418401888,40.487819092731584,34.641267831075126,3.434743907514632,3.05953950871749,-0.18915666283273064,-0.853876290301637,-1.082599695570961,1.527001542086425,1,-26.144100435724148,-26.84794629334595,0.6470588235294118,42.78506556823199,38.24731651001748,201,201,22.4660034501297,13.69969350292058,932.45301,0.7202407162777044,0.5831406586358617,0.4398085226043132,0
rf3,modern_nomom,pm_free,12,0.22526015804384958,0.14343463036357176,0.8088235294117647,0.10680630765062671,0.8103856991849014,0.06732884748468783,-0.1302243149144658,0.2736325555576208,0.0760440209728794,3.4624830090559167,-0.42838089603414176,0.6264856999087228,0.16701896229885616,0.0055509891499575525,0.03499403005241422,-0.5670682079781794,1.1435539823168563,1,-31.34263281565953,-34.21412923106685,0.5,45.904558179416355,42.31378142944852,201,206,21.506117147931455,10.416962975944516,2362.64819,0.4394378441031585,0.05000000000000003,0.34999999999999987,0
rf3,modern_nomom,pm_t20,12,0.22526015804384958,0.14343463036357176,0.8088235294117647,0.10680630765062671,0.8103856991849014,-0.03702877484655497,-0.16806820032356568,0.16988933686582378,0.038613050125119806,1.3990054603805424,-1.1504415665061218,0.33285785102694454,0.02808177194055068,0.04804429923854153,0.3039881898431428,-0.748856819388677,1.356523552517477,1,-36.48906098249667,-38.39860896703121,0.47058823529411764,19.999999999999993,18.471648755198228,205,242,10.633210088195055,10.507525933582723,2364.596445,0.4394983461962514,0.05000000000000004,0.3499999999999999,0
rf3,modern_nomom,pm_t10,12,0.22526015804384958,0.14343463036357176,0.8088235294117647,0.10680630765062671,0.8103856991849014,-0.20737068418209328,-0.3117026418707457,0.009753824291709977,-0.09502910005896775,-1.5497274209989476,-3.4507643098392826,-0.06232142434990696,-0.3055049724759931,0.06400343467702325,0.4252249510304982,-0.5804859951033914,1.2623217806288944,1,-39.84404697080633,-40.99607537597887,0.5,10.074626865671638,10.519297320777575,205,287,5.911728180413812,10.205093594246406,2591.1174,0.40371539582321514,0.05000000000000008,0.3500000000000001,1
rf3,modern,legacy,15,0.19518078496656432,0.14563390043949984,0.8088235294117647,0.10877238184707456,0.8134025593985884,1.3287798171081409,1.1692228814743206,1.4720449326821599,1.3123296632863104,44.2637121287832,38.168582963681416,3.5213646699918213,3.151338597829523,-0.12123140915476346,-0.5318593835307217,-1.0139233007108681,1.5524664311025582,1,-27.047108308899926,-27.762810643611125,0.6617647058823529,44.048386371666076,39.586932306326226,201,201,23.016528052462295,13.806416919939267,885.1613600000001,0.7306338028169014,0.62,0.42423012163757834,0
rf3,modern,pm_free,15,0.19518078496656432,0.14563390043949984,0.8088235294117647,0.10877238184707456,0.8134025593985884,0.048859889640485286,-0.14624363270620808,0.2483112257431178,0.05303952215911,2.961504004329818,-0.9994874370610196,0.5165898281433106,0.0627237733049889,0.04813566615854879,0.29356197961600955,-0.5274897958633986,1.1810350851000864,1,-30.29867817616495,-33.59134294356772,0.5,46.950546573935235,43.38176877867138,201,205,22.05695825324312,10.57037258686451,2271.11944,0.4520388913075025,0.05000000000000003,0.34999999999999987,0
rf3,modern,pm_t20,15,0.19518078496656432,0.14563390043949984,0.8088235294117647,0.10877238184707456,0.8134025593985884,-0.046528760592638586,-0.16908866186566282,0.14581309298501322,0.023004388357040377,0.8254653459826455,-1.7294586967067982,0.2603939250804917,-0.02493404292967569,0.06598816631162306,0.38828251901227095,-0.858410192220581,1.1928991484646756,1,-41.66769282362208,-43.22425614535156,0.5,19.999999999999993,18.528590872115185,205,250,10.729463014390772,10.548434737129883,2357.7009000000003,0.444747985247917,0.05000000000000004,0.35,0
rf3,modern,pm_t10,15,0.19518078496656432,0.14563390043949984,0.8088235294117647,0.10877238184707456,0.8134025593985884,-0.15390199734141025,-0.25567785387085223,0.05573483865685172,-0.046521086774652845,-0.8172477432852654,-2.7520242947674856,0.04097038700537609,-0.19641318251944798,0.06886984957742831,0.4418252814830144,-0.5770838845623254,1.0411250642508718,1,-36.65920412140934,-37.86367872301981,0.5,10.07462686567164,10.568675329109098,205,282,5.882028630533787,10.394166799855755,2375.0814,0.43103024342267027,0.05000000000000006,0.35000000000000003,1
