run,oos_r2_pct,rank_ic,corr_pred_beta60,corr_pred_betabab,ir,sharpe,cagr_pct,alpha_t,beta,beta_t,hit_rate,max_dd_pct,calmar,long_leg_cagr_pct,short_leg_cagr_pct,avg_turnover,avg_abs_beta60_exposure,avg_abs_betabab_exposure,n_months
"rf.py replication (orig 2-config grid, tuned)",0.12346461914672924,0.09534407606891343,-0.06691091319871727,-0.05082420891308485,1.0452331636717302,1.209366100555875,30.00761244275012,2.8420853676391395,-0.04135900811562556,-0.2075009021512021,0.6323529411764706,-22.556130270986618,1.3303528611620121,12.383352506557955,10.351354295726246,0.4628065032474869,7.381758603068366e-16,0.2168260821805835,68.0
fixed best-mean-val config d8_l200,0.1547364921216321,0.09534076946220334,-0.06421339718634715,-0.04280334353264894,1.1989475426789467,1.3648249059003623,34.528705810889605,3.1792993765785433,-0.01921283457969812,-0.09739177717397146,0.6617647058823529,-22.568649467901945,1.5299411628506054,13.098554893283175,13.187939942844483,0.45321447705321427,7.27818540729681e-16,0.23204922572893488,68.0
"wide grid (15 configs), tuned per fold",0.06672869174424445,0.0931258705129098,-0.06966365925307216,-0.056176967642346,1.0372760413856337,1.20023283113586,29.873236469251374,2.7761301972591164,0.0024693537572506863,0.012296139679924357,0.6617647058823529,-28.224097832572426,1.058430162992694,11.138889241701545,11.394177918890058,0.46782700744518335,7.533036694429285e-16,0.23096403500195858,68.0
